"clientName","clientAppId","status","isMicrosoft","isThirdParty","isHomeTenant","isHidden","publisher","publisherDomain","publisherDomainMatchesMicrosoft","publisherDomainMatchesTenant","verifiedPublisherName","verifiedPublisherId","appOwnerOrgId","msOwnerOrgMatch","msPublisherMatch","verifiedPublisherMatchesMicrosoft","msHasIntegratedTag","msHasGalleryTag","msKnownAppId","servicePrincipalType","servicePrincipalNames","servicePrincipalNameMatchesMicrosoft","servicePrincipalNameMatchesTenant","servicePrincipalTags","notes","ssoState","staleApp","tags","adminScopes","userScopes","userCount"
"Microsoft.EventHubs","80369ed6-5f11-4dd9-bef3-692475845e77","pass","True","False","False","False","Microsoft Services","eventhubs.azure.net","True","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","80369ed6-5f11-4dd9-bef3-692475845e77;https://eventhubs.azure.net","True","False","disableRequestingTenantedPassthroughTokens;disableAcceptingTenantedPassthroughTokens",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"Directory and Policy Cache","7b58f833-4438-494c-a724-234928795a67","pass","True","False","False","False","Microsoft Services",,"False","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","7b58f833-4438-494c-a724-234928795a67","False","False","",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"TVM-SelfManagedDevices","6940e0e1-7307-4f39-99f4-58a252b6526c","pass","True","False","False","False",,"identity.azure.net","True","False",,,,"False","False","False","False","False",,"ManagedIdentity","https://identity.azure.net/U5SvBojiwXMIf9LrzhnMUhgeAmsPm5f0DdkV9dSKLJk=;6940e0e1-7307-4f39-99f4-58a252b6526c","True","False","",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"SharePoint Home Notifier","4e445925-163e-42ca-b801-9073bfa46d17","pass","True","False","False","False","Microsoft Services","outlook.office365.com","True","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","https://outlook.office365.com/SharePointHomeNotifierB2;https://substrate.office.com/SharePointHomeNotifierB2;4e445925-163e-42ca-b801-9073bfa46d17","True","False","",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"test","a65d050b-78db-47d1-8e28-6f0649eac85c","pass","False","False","True","True","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","True","False",,"Application","a65d050b-78db-47d1-8e28-6f0649eac85c","False","False","HideApp;WindowsAzureActiveDirectoryIntegratedApp",,"Disabled","True","Home Tenant;Hidden;staleApps;No OAuth grants","","","0"
"DirectoryLookupService","9cd0f7df-8b1a-4e54-8c0c-0ef3a51116f6","pass","True","False","False","False","Microsoft Services","dls.substrate.office.com","True","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","https://dls.substrate.office.com/;9cd0f7df-8b1a-4e54-8c0c-0ef3a51116f6","True","False","",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"CABProvisioning","5da7367f-09c8-493e-8fd4-638089cddec3","pass","True","False","False","False","Microsoft Services",,"False","False","Microsoft Corporation","5206095","f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","True","False","False",,"Application","5da7367f-09c8-493e-8fd4-638089cddec3","False","False","",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"SCIMAPIProd","8c3d7bf9-7a2e-4bbf-be64-2b1c3e32e2bd","pass","True","False","False","False","Microsoft Services",,"False","False",,,"f8cdef31-a31e-4b4a-93e4-5f571e91255a","True","True","False","False","False",,"Application","8c3d7bf9-7a2e-4bbf-be64-2b1c3e32e2bd","False","False","disableLegacyUserImpersonationClient;disableLegacyUserImpersonationResource;GitCreatedApp",,"Disabled","False","Microsoft;No OAuth grants","","","0"
"ForPe-Microsoft Learn with MCP (Microsoft Copilot Studio)","6f75ea84-7a16-4390-94a1-42d0d4ccc9db","pass","False","False","True","False","Base-IT Intune.cc",,"False","False",,,"a65f6b72-abef-4f0b-88d6-3256be9a72d1","False","False","False","False","False",,"Application","6f75ea84-7a16-4390-94a1-42d0d4ccc9db","False","False","AgenticApp;AIAgentBuilder;AgentCreatedBy:CopilotStudio;AgenticInstance;power-virtual-agents-fe165234-65a9-dce9-8f84-83c4d88d5125","This application is required to support messaging and authentication for an individual chatbot built with Power Virtual Agents. Power Platform Environment: '035a17de-c1e1-e6f2-abe2-ee8e69d5c556', Bot Id: 'fe165234-65a9-dce9-8f84-83c4d88d5125', More information: https://go.microsoft.com/fwlink/?linkid=2096220","Disabled","False","Home Tenant;No OAuth grants","","","0"
"LugDo-DF-Test","55b56849-84fe-4583-a717-daa5e8f20f34","pass","True","False","False","False",,"identity.azure.net","True","False",,,,"False","False","False","False","False",,"ManagedIdentity","55b56849-84fe-4583-a717-daa5e8f20f34;https://identity.azure.net/zcMII1IpzGsyBecfGb1BBwssDO180aubI4p/s82A1bM=","True","False","",,"Disabled","False","Microsoft;No OAuth grants","","","0"
